subhalos: 44366700, with Mstar>0: 16206229, Mstar>1e8: 2541960
sdss_g QC: {'nonFinite': 28160471, 'zeroExactly': 0, 'nonNegative': 0, 'minMag': -26.621566772460938}
des_g QC: {'nonFinite': 28160471, 'zeroExactly': 0, 'nonNegative': 0, 'minMag': -26.647777557373047}
wrote /hildafs/projects/phy200026p/akumar45/results/lumFn817.json
wrote /hildafs/projects/phy200026p/akumar45/results/lumFn817.png

     Mg  N(sdss,all) phi(sdss,all)   N(des,all)
 -23.88          128    1.0186e-05          143
 -23.62          278    2.2122e-05          304
 -23.38          547    4.3527e-05          584
 -23.12         1074    8.5463e-05         1139
 -22.88         1850    1.4721e-04         1940
 -22.62         2912    2.3172e-04         3084
 -22.38         4161    3.3111e-04         4272
 -22.12         5715    4.5477e-04         5876
 -21.88         7423    5.9068e-04         7599
 -21.62         9645    7.6750e-04         9937
 -21.38        12471    9.9238e-04        12738
 -21.12        16805    1.3373e-03        17230
 -20.88        22422    1.7842e-03        22943
 -20.62        29789    2.3705e-03        30410
 -20.38        37873    3.0137e-03        38619
 -20.12        45947    3.6562e-03        46601
 -19.88        52895    4.2091e-03        53367
 -19.62        57668    4.5889e-03        58163
 -19.38        62492    4.9728e-03        62741
 -19.12        65973    5.2498e-03        66431
 -18.88        69807    5.5549e-03        70192
 -18.62        75833    6.0344e-03        76500
 -18.38        81352    6.4736e-03        81719
 -18.12        86847    6.9108e-03        87564
 -17.88        93352    7.4285e-03        94000
 -17.62        98741    7.8573e-03        99385
 -17.38       105191    8.3706e-03       106111
 -17.12       111372    8.8624e-03       112014
 -16.88       116751    9.2904e-03       117561
 -16.62       122708    9.7645e-03       123785
 -16.38       128313    1.0210e-02       129156
 -16.12       133111    1.0592e-02       133795
 -15.88       137250    1.0922e-02       138372
 -15.62       140985    1.1219e-02       141870
 -15.38       144926    1.1532e-02       146070
 -15.12       146301    1.1642e-02       147179
 -14.88       149627    1.1907e-02       150983
 -14.62       154025    1.2257e-02       154955
 -14.38       158407    1.2605e-02       159614
 -14.12       162977    1.2969e-02       164478
